DATE,단계적 일상회복(위드코로나),부동산,아동청소년･교육,기업
8/1/21,3133.25587944651,3155.45632653562,2017.57983418622,2118.18870094997
8/2/21,3461.17557131734,2811.83130196117,1560.26586929562,554.870245002842
8/3/21,1380.71366631268,973.163485935627,2256.99909853089,1055.95652577024
8/4/21,2403.97263056687,1045.01903109427,2407.56263281142,2220.42087233738
8/5/21,4177.36589002725,1577.01804816675,2008.99464408479,2258.01069864842
8/6/21,3613.70585162704,2879.28679152035,777.627947617359,1825.05662074219
8/7/21,2723.70934944342,2631.80274654186,1096.98914425047,1112.72668001081
8/8/21,2160.72190388299,2813.56341962251,2292.01416087136,923.91978626625
8/9/21,1725.28915532335,2795.70956629575,1689.78400904933,1111.95778219515
8/10/21,1143.70744348468,1084.95565649224,1816.61698800622,1676.76861048712
8/11/21,2097.10204766003,1408.51788168523,1784.25280603733,1980.64074492411
8/12/21,3618.55852461859,2021.41503533229,1428.46985150997,1859.42902434272
8/13/21,4069.31416278869,3071.34147921189,1250.71194594848,1976.79996138339
8/14/21,4441.1400897881,2363.2709422569,928.148000077178,2018.91621978593
8/15/21,3576.00946737518,2634.6212723748,2098.01795301183,610.751172726998
8/16/21,2807.67409909664,2354.71655935825,3146.01108325242,1671.00917526089
8/17/21,1735.86499911466,2501.09450186682,2864.80591366834,2826.43489673845
8/18/21,2256.85335965195,1431.12675222818,2301.03744635054,2244.0690588449
8/19/21,3439.72914818852,1938.75073367568,1761.89008700744,2364.29401404387
8/20/21,3950.91450924894,2916.14552722734,1467.63272356335,2689.37140083095
8/21/21,3977.01862545724,3039.67710200786,1937.56897953021,1663.54625603805
8/22/21,4572.01411857556,3291.63984407509,2557.79497596291,1086.09816499088
8/23/21,3690.27737979202,2676.2040706224,2347.16893607308,993.592528475497
8/24/21,2138.38891617158,2593.6362838498,2834.14585504689,1809.334520623
8/25/21,1440.33381392767,857.048934372716,2382.23660546354,2434.30718275008
8/26/21,1849.27931836885,1909.24349985582,1472.0217476148,2839.37213969747
8/27/21,3780.96117656654,2841.79444838083,941.626957757116,1949.07381321601
8/28/21,3279.88897915892,2945.95003389677,1993.81680585915,1493.01636017114
8/29/21,3494.98201992353,2815.30001012857,2910.8501021634,605.075663049584
8/30/21,2652.0876260613,2619.30567355235,2995.33190557718,1646.69703275393
8/31/21,1156.45964458284,2466.45534393914,2854.0875773076,2398.74359322108
9/1/21,2034.05765896316,785.554047596415,3221.58507624464,2495.4743877832
9/2/21,3461.38474212702,2157.94478952241,2041.98344694462,1785.91239028463
9/3/21,3418.75313701126,3211.84379707469,1171.64163560312,923.6312797858
9/4/21,3621.98384354914,3042.22705288328,979.552888675871,104.72820130379
9/5/21,3252.12035893054,2639.49079674396,2607.60703397099,2057.11743299913
9/6/21,2739.68763711794,3179.54306386012,2264.23694522873,1963.67706953905
9/7/21,1525.7580689205,2845.02561960793,2508.53694161564,1215.68057630367
9/8/21,1621.8868457762,2785.84185461667,2423.14347512875,1259.49413281215
9/9/21,2548.64633039785,2312.32341360237,2451.6123493938,976.740445249548
9/10/21,3175.78552312968,2189.59210236739,1691.07939993934,2714.21599428761
9/11/21,3319.09669343004,1788.87619300481,969.179147204944,771.024675512332
9/12/21,2640.07178757243,2517.81596319743,1365.18713784251,1123.50264339402
9/13/21,2583.340918738,2662.23843007317,2131.32832514576,827.579258658175
9/14/21,1410.34504968609,2834.54453088597,1995.51198890761,1421.65536107702
9/15/21,1655.70464098946,2451.74385980812,2087.4806172044,1316.50905178314
9/16/21,3376.50270163483,2513.30657195285,2494.75775903085,1301.39659748172
9/17/21,3520.91032767791,2512.83553651474,1672.23682759785,1742.78294165476
9/18/21,2510.67447357636,3490.33698718309,834.39278518777,2152.89245605367
9/19/21,2977.78464560123,3035.57219961426,826.4293805342,1765.9498456195
9/20/21,2191.25793505974,2587.9484046594,1910.58632762707,1200.68982723951
9/21/21,1614.7014034868,2835.43266451587,2125.48912354264,1161.54141728472
9/22/21,2280.4937229479,2125.61686911287,3019.08364168079,411.57597568987
9/23/21,3324.28001642865,2191.26461864388,2560.20977864569,900.88377953703
9/24/21,2459.70436760638,2998.82069529626,2335.10713943956,2633.4221489958
9/25/21,3362.75582613316,2741.90698571104,821.836916319974,2288.67260695558
9/26/21,3247.38641375241,2623.5606092042,1915.76530390086,2537.10352298314
9/27/21,3916.53497363061,2195.59760030622,2001.52892325819,2076.24142608747
9/28/21,3593.64452483619,2342.56339214801,2661.81071851971,2439.42807086402
9/29/21,3762.38230283456,2907.04439039824,2838.90240872563,2413.26023704592
9/30/21,3923.80838252235,2738.79464661714,2066.50969505911,2095.07757905245
